Monthly Climate Data Summaries ( por - por )

Station:,ALBUQUERQUE INTL AP,State:,NM,ID:,23050
Latitude:,35.0419 degreeN,Longitude:,106.6155 degreeW,Elevation:,5310.0 feet
Station period of record:,maxt: 12/01/1891-10/23/2019; mint: 12/01/1891-10/23/2019; avgt: 12/01/1891-10/23/2019; hdd: 12/01/1891-10/23/2019; cdd: 12/01/1891-10/23/2019; pcpn: 12/01/1891-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1895,JAN,43.7,24.0,33.9,58,18,8,29,0,0,2,0,26,0,0,958,0,1.29,50,1895-01-16,6,4,1,0,0
1895,FEB,44.7,19.6,32.1,63,25,-10,15,0,0,3,0,26,0,2,916,0,0.60,60,1895-02-13,1,1,1,0,0
1895,MAR,59.7,30.6,45.1,75,27,21,16,0,0,0,0,19,0,0,608,0,0.07,05,1895-03-01,2,0,0,0,0
1895,APR,71.0,38.8,54.9,80,28,22,06,0,0,0,0,7,0,0,301,4,0.08,08,1895-04-30,1,0,0,0,0
1895,MAY,76.8,47.3,62.1,91,09,36,30,0,2,0,0,0,0,0,124,43,1.73,52,1895-05-22,7,5,2,0,0
1895,JUN,84.8,58.1,71.5,93,25,45,03,0,6,0,0,0,0,0,12,209,0.34,24,1895-06-09,4,1,0,0,0
1895,JUL,86.3,61.3,73.8,96,07,51,13,0,13,0,0,0,0,0,0,273,2.78,62,1895-07-31,10,8,2,0,0
1895,AUG,84.8,61.9,73.3,91,17,58,28,0,1,0,0,0,0,0,0,259,0.80,18,1895-08-04,7,6,0,0,0
1895,SEP,82.7,59.0,70.8,89,12,40,22,0,0,0,0,0,0,0,31,207,0.18,11,1895-09-19,2,1,0,0,0
1895,OCT,65.2,42.9,54.0,71,18,32,31,0,0,0,0,1,0,0,340,0,0.74,40,1895-10-30,4,3,0,0,0
1895,NOV,49.4,30.5,40.0,62,21,16,26,0,0,2,0,18,0,0,750,0,0.85,50,1895-11-24,5,3,1,0,0
1895,DEC,42.7,21.1,31.9,53,16,5,30,0,0,4,0,30,0,0,1026,0,0.32,30,1895-12-18,2,1,0,0,0
1895,ANNUAL,66.1,41.4,53.73,96,,-10,,0,22,11,0,127,0,2,5066,995,9.78,,0.62,51,33,7,0,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1896,JAN,48.2,24.0,36.1,57,21,14,05,0,0,0,0,26,0,0,895,0,0.06,05,1896-01-22,2,0,0,0,0
1896,FEB,51.7,26.1,38.9,70,28,19,13,0,0,0,0,27,0,0,756,0,0.07,06,1896-02-04,2,0,0,0,0
1896,MAR,62.2,36.5,49.3,80,25,17,18,0,0,0,0,11,0,0,485,0,0.01,01,1896-03-03,1,0,0,0,0
1896,APR,69.9,39.4,54.6,79,22,13,01,0,0,0,0,5,0,0,315,4,T,T,1896-04-12,0,0,0,0,0
1896,MAY,81.9,51.4,66.7,95,28,36,14,0,4,0,0,0,0,0,72,127,0.07,07,1896-05-29,1,0,0,0,0
1896,JUN,92.7,62.6,77.6,100,15,55,26,0,23,0,0,0,0,0,0,382,0.32,27,1896-06-01,3,1,0,0,0
1896,JUL,88.3,64.3,76.3,93,03,58,01,0,14,0,0,0,0,0,0,352,1.98,73,1896-07-18,13,4,1,0,0
1896,AUG,86.7,62.4,74.6,94,11,54,01,0,12,0,0,0,0,0,0,299,0.81,40,1896-08-24,7,3,0,0,0
1896,SEP,79.4,56.5,68.0,89,02,41,28,0,0,0,0,0,0,0,40,132,0.72,20,1896-09-17,7,4,0,0,0
1896,OCT,63.9,44.7,54.3,74,09,32,31,0,0,0,0,1,0,0,330,0,2.55,83,1896-10-23,10,6,1,0,0
1896,NOV,54.8,30.8,42.8,65,10,15,30,0,0,0,0,20,0,0,664,0,0.05,03,1896-11-20,2,0,0,0,0
1896,DEC,48.4,25.8,37.1,53,13,18,23,0,0,0,0,28,0,0,866,0,0.38,36,1896-12-29,2,1,0,0,0
1896,ANNUAL,69.0,43.8,56.40,100,,13,,0,53,0,0,118,0,0,4423,1296,7.02,,0.83,50,19,2,0,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1897,JAN,41.3,21.5,31.4,53,16,2,05,0,0,5,0,30,0,0,1039,0,0.57,20,1897-01-02,5,4,0,0,0
1897,FEB,49.5,28.5,39.0,66,28,20,24,0,0,0,0,20,0,0,727,0,0.13,07,1897-02-03,4,0,0,0,0
1897,MAR,59.3,31.7,45.5,70,28,18,23,0,0,0,0,17,0,0,605,0,0.72,50,1897-03-22,3,2,1,0,0
1897,APR,69.4,42.0,55.7,80,18,27,01,0,0,0,0,2,0,0,280,1,0.63,36,1897-04-26,3,2,0,0,0
1897,MAY,78.3,54.1,66.2,85,15,41,05,0,0,0,0,0,0,0,47,85,2.07,02,1897-05-19,9,4,1,1,0
