Monthly Climate Data Summaries ( por - por )

Station:,BISMARCK MUNICIPAL AP,State:,ND,ID:,24011
Latitude:,46.7825 degreeN,Longitude:,100.7572 degreeW,Elevation:,1651.0 feet
Station period of record:,maxt: 10/01/1874-10/23/2019; mint: 10/01/1874-10/23/2019; avgt: 10/01/1874-10/23/2019; hdd: 10/01/1874-10/23/2019; cdd: 10/01/1874-10/23/2019; pcpn: 10/01/1874-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1895,JAN,8.3,-10.9,-1.3,38,14,-32,23,0,0,30,0,31,0,25,2050,0,0.89,18,1895-01-14,12,5,0,0,0
1895,FEB,18.8,0.2,9.5,64,27,-39,07,0,0,19,0,26,0,12,1549,0,0.35,18,1895-02-05,9,1,0,0,0
1895,MAR,41.4,13.5,27.5,72,26,-22,13,0,0,12,0,29,0,7,1156,0,0.24,13,1895-03-31,3,2,0,0,0
1895,APR,65.1,35.4,50.2,84,23,21,02,0,0,0,0,12,0,0,437,0,2.53,06,1895-04-30,9,5,2,1,0
1895,MAY,67.1,42.2,54.7,84,03,30,21,0,0,0,0,3,0,0,312,3,3.80,41,1895-05-01,10,6,3,1,0
1895,JUN,71.0,47.7,59.3,88,14,39,28,0,0,0,0,0,0,0,188,27,4.01,87,1895-06-08,16,7,2,1,0
1895,JUL,80.6,54.5,67.5,94,05,42,21,0,4,0,0,0,0,0,47,134,2.08,67,1895-07-18,12,6,1,0,0
1895,AUG,83.6,51.3,67.5,98,15,32,31,0,7,0,0,1,0,0,49,134,0.40,15,1895-08-27,5,2,0,0,0
1895,SEP,74.3,43.8,59.0,96,02,24,29,0,3,0,0,6,0,0,226,54,0.67,55,1895-09-21,4,1,1,0,0
1895,OCT,57.8,28.3,43.0,84,17,-2,29,0,0,1,0,16,0,1,673,0,0.08,07,1895-10-11,2,0,0,0,0
1895,NOV,31.7,12.6,22.2,64,01,-11,22,0,0,17,0,29,0,6,1279,0,1.60,62,1895-11-05,7,3,2,0,0
1895,DEC,27.3,8.2,17.7,48,10,-18,02,0,0,18,0,31,0,10,1459,0,0.27,12,1895-12-21,5,2,0,0,0
1895,ANNUAL,52.4,27.4,39.90,98,,-39,,0,14,97,0,184,0,61,9425,352,16.92,,1.87,94,40,11,3,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1896,JAN,16.5,-0.3,8.1,48,09,-23,04,0,0,23,0,29,0,16,1756,0,0.81,32,1896-01-30,7,4,0,0,0
1896,FEB,28.2,4.4,16.3,58,25,-19,14,0,0,16,0,27,0,11,1406,0,0.31,14,1896-02-28,6,1,0,0,0
1896,MAR,29.9,7.9,18.9,69,24,-14,12,0,0,19,0,31,0,11,1420,0,0.84,24,1896-03-05,8,4,0,0,0
1896,APR,52.0,32.3,42.2,79,27,18,01,0,0,2,0,19,0,0,678,0,2.23,76,1896-04-29,8,4,1,0,0
1896,MAY,69.3,45.3,57.3,92,05,34,02,0,1,0,0,0,0,0,256,25,1.98,72,1896-05-23,17,6,1,0,0
1896,JUN,78.2,53.0,65.6,96,30,42,02,0,1,0,0,0,0,0,65,92,2.64,13,1896-06-07,11,8,1,1,0
1896,JUL,81.4,56.1,68.8,103,11,43,22,0,6,0,0,0,0,0,35,159,1.03,42,1896-07-13,8,4,0,0,0
1896,AUG,81.8,52.7,67.3,98,02,40,26,0,7,0,0,0,0,0,40,116,1.77,84,1896-08-19,10,5,1,0,0
1896,SEP,67.5,41.4,54.4,93,07,22,19,0,1,0,0,4,0,0,321,11,1.42,53,1896-09-24,11,5,1,0,0
1896,OCT,54.5,29.4,42.0,77,01,13,20,0,0,0,0,21,0,0,706,0,0.48,31,1896-10-04,5,1,0,0,0
1896,NOV,14.6,-0.2,7.2,48,16,-22,29,0,0,29,0,30,0,17,1727,0,3.10,73,1896-11-02,14,10,1,0,0
1896,DEC,27.5,10.4,19.0,46,11,-23,02,0,0,18,0,30,0,5,1420,0,0.03,01,1896-12-31,3,0,0,0,0
1896,ANNUAL,50.2,27.8,39.00,103,,-23,,0,16,107,0,191,0,60,9830,403,16.64,,1.13,108,52,6,1,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1897,JAN,14.1,-2.5,5.8,42,21,-30,24,0,0,28,0,31,0,16,1828,0,1.11,52,1897-01-01,8,3,1,0,0
1897,FEB,16.9,-3.6,6.6,33,16,-25,26,0,0,26,0,28,0,18,1628,0,1.32,74,1897-02-12,14,3,1,0,0
1897,MAR,21.2,2.4,11.8,48,29,-36,15,0,0,22,0,28,0,17,1641,0,0.91,29,1897-03-06,9,3,0,0,0
1897,APR,52.4,32.1,42.2,81,26,19,19,0,0,0,0,18,0,0,673,0,1.40,47,1897-04-04,9,5,0,0,0
1897,MAY,71.1,43.6,57.3,90,04,28,14,0,1,0,0,3,0,0,262,32,1.10,60,1897-05-17,6,3,1,0,0
1897,JUN,73.6,52.0,62.8,95,13,33,07,0,2,0,0,0,0,0,146,86,3.44,17,1897-06-17,12,7,2,1,0
1897,JUL,82.5,58.2,70.3,99,28,47,12,0,5,0,0,0,0,0,11,187,1.53,60,1897-07-25,10,4,1,0,0
1897,AUG,78.6,53.1,65.8,93,12,43,29,0,3,0,0,0,0,0,41,75,2.25,88,1897-08-13,9,7,1,0,0
1897,SEP,82.6,51.6,67.1,102,07,32,16,0,9,0,0,1,1,0,78,147,0.30,10,1897-09-14,4,1,0,0,0
1897,OCT,59.7,34.7,47.2,89,01,13,09,0,0,0,0,11,0,0,550,7,0.42,28,1897-10-15,5,1,0,0,0
1897,NOV,35.0,11.2,23.1,72,19,-15,28,0,0,12,0,28,0,8,1250,0,0.25,10,1897-11-30,5,1,0,0,0
1897,DEC,23.9,4.0,14.0,52,08,-23,02,0,0,21,0,30,0,12,1573,0,0.30,12,1897-12-22,7,2,0,0,0
1897,ANNUAL,51.1,28.2,39.68,102,,-36,,0,20,109,0,178,1,71,9681,534,14.33,,1.17,98,40,7,1,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1898,JAN,29.9,5.7,17.8,46,03,-10,25,0,0,20,0,31,0,8,1451,0,0.20,16,1898-01-10,4,1,0,0,0
1898,FEB,29.3,2.5,15.9,57,08,-18,20,0,0,16,0,28,0,12,1366,0,0.48,14,1898-02-16,6,3,0,0,0
1898,MAR,34.1,13.2,23.6,66,07,-11,22,0,0,12,0,31,0,5,1274,0,1.00,56,1898-03-15,10,3,1,0,0
1898,APR,55.1,32.3,43.7,79,14,18,06,0,0,0,0,12,0,0,631,0,1.12,39,1898-04-30,5,3,0,0,0
1898,MAY,64.4,41.5,53.0,84,24,28,03,0,0,0,0,3,0,0,376,10,2.65,07,1898-05-18,8,5,2,1,0
