Monthly Climate Data Summaries ( por - por )

Station:,CEDAR RAPIDS NO 1,State:,IA,ID:,131319
Latitude:,42.0496 degreeN,Longitude:,91.5881 degreeW,Elevation:,813.0 feet
Station period of record:,maxt: 05/01/1892-10/22/2019; mint: 05/01/1892-10/22/2019; avgt: 05/01/1892-10/22/2019; hdd: 05/01/1892-10/22/2019; cdd: 05/01/1892-10/22/2019; pcpn: 05/01/1892-10/22/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1895,JAN,23.9,M,M,54,20,M,M,3,0,21,5,26,0,10,1181,0,1.56,91,1895-01-26,11,2,1,0,0
1895,FEB,27.7,7.0,M,62,28,-19,08,2,0,17,2,24,0,11,1128,0,0.58,26,1895-02-07,5,2,0,0,0
1895,MAR,46.2,27.2,37.1,84,29,5,14,2,0,4,1,19,0,0,772,0,0.60,26,1895-03-31,6,3,0,0,0
1895,APR,64.9,42.8,53.9,86,30,29,02,0,0,0,0,2,0,0,346,17,1.26,78,1895-04-07,6,3,1,0,0
1895,MAY,72.7,52.8,62.5,90,09,30,14,0,1,0,1,1,0,0,184,118,2.84,80,1895-05-02,13,6,3,0,0
1895,JUN,83.3,61.9,72.6,92,16,52,06,0,4,0,0,0,0,0,4,238,2.23,01,1895-06-26,5,5,2,1,0
1895,JUL,84.9,63.1,74.0,97,16,51,31,0,8,0,0,0,0,0,3,290,3.22,15,1895-07-27,9,7,2,1,0
1895,AUG,85.6,63.6,74.6,94,27,48,01,0,5,0,0,0,1,0,0,305,1.50,10,1895-08-24,10,2,1,1,0
1895,SEP,79.6,59.1,M,94,11,34,30,1,7,0,3,0,2,0,92,201,3.64,49,1895-09-15,8,5,3,1,0
1895,OCT,56.1,35.2,45.6,70,02,16,30,0,0,0,0,11,0,0,593,0,1.23,59,1895-10-07,5,4,1,0,0
1895,NOV,42.4,27.3,M,70,04,5,26,2,0,7,2,17,0,0,796,0,1.83,50,1895-11-06,10,4,1,0,0
1895,DEC,34.0,20.9,27.5,55,17,-0,05,2,0,10,1,29,0,2,1041,0,2.90,13,1895-12-25,9,6,2,1,0
1895,ANNUAL,59.3,39.6,50.04,97,,-19,,12,25,59,15,129,3,23,6140,1169,23.39,,1.49,97,49,17,5,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1896,JAN,33.5,16.5,25.0,51,30,-10,03,0,0,13,0,28,0,4,1230,0,0.27,16,1896-01-24,2,2,0,0,0
1896,FEB,36.1,17.5,26.8,68,26,-9,17,0,0,13,0,27,0,5,1099,0,0.48,15,1896-02-03,5,3,0,0,0
1896,MAR,44.3,22.3,32.9,76,30,7,13,0,0,5,1,27,0,0,957,0,0.50,26,1896-03-28,4,3,0,0,0
1896,APR,73.7,45.9,60.2,94,16,21,03,1,4,0,0,6,0,0,235,100,5.23,30,1896-04-08,13,7,1,1,0
1896,MAY,82.1,57.4,69.7,100,06,46,15,0,8,0,0,0,0,0,23,178,3.99,08,1896-05-16,13,8,3,1,0
