Monthly Climate Data Summaries ( por - por )

Station:,LITTLE ROCK AP ADAMS FIELD,State:,AR,ID:,13963
Latitude:,34.7273 degreeN,Longitude:,92.2389 degreeW,Elevation:,258.0 feet
Station period of record:,maxt: 07/01/1879-10/22/2019; mint: 07/01/1879-10/22/2019; avgt: 07/01/1879-10/22/2019; hdd: 07/01/1879-10/22/2019; cdd: 07/01/1879-10/22/2019; pcpn: 07/01/1879-10/22/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1895,JAN,44.8,29.7,37.3,73,06,12,31,0,0,4,0,20,0,0,857,2,7.12,13,1895-01-07,11,7,3,2,0
1895,FEB,44.2,26.3,35.2,72,28,-2,07,0,0,10,0,19,0,2,825,0,0.63,25,1895-02-21,4,3,0,0,0
1895,MAR,61.2,43.5,52.4,87,27,25,02,0,0,0,0,6,0,0,418,33,7.78,84,1895-03-30,14,9,6,3,0
1895,APR,73.2,53.2,63.2,88,30,36,03,0,0,0,0,0,0,0,98,51,1.47,90,1895-04-25,5,3,1,0,0
1895,MAY,77.7,59.4,68.6,88,31,46,18,0,0,0,0,0,0,0,44,161,2.85,75,1895-05-05,10,8,2,0,0
1895,JUN,85.8,68.7,77.2,94,03,62,06,0,7,0,0,0,0,0,0,377,9.25,38,1895-06-16,14,10,6,1,0
1895,JUL,87.1,71.5,79.3,96,17,66,26,0,11,0,0,0,5,0,0,453,6.13,18,1895-07-24,14,10,5,2,0
1895,AUG,88.8,70.3,79.6,95,18,65,03,0,18,0,0,0,0,0,0,460,3.96,32,1895-08-01,9,5,3,2,0
1895,SEP,87.6,68.5,78.0,96,15,45,30,0,18,0,0,0,2,0,18,414,0.41,16,1895-09-26,4,2,0,0,0
1895,OCT,69.8,47.5,58.7,84,22,38,31,0,0,0,0,0,0,0,203,16,2.22,31,1895-10-27,6,3,2,1,0
1895,NOV,58.8,41.6,50.2,76,18,28,27,0,0,0,0,4,0,0,439,2,5.26,43,1895-11-24,7,6,3,3,0
1895,DEC,52.2,36.1,44.2,69,16,17,03,0,0,0,0,16,0,0,639,0,2.50,97,1895-12-19,10,6,2,0,0
1895,ANNUAL,69.4,51.5,60.45,96,,-2,,0,54,14,0,65,7,2,3541,1969,49.58,,4.38,108,72,33,14,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1896,JAN,48.3,34.5,41.4,66,11,15,04,0,0,1,0,11,0,0,725,0,4.85,32,1896-01-31,9,6,5,1,0
1896,FEB,55.2,36.7,46.0,73,26,24,17,0,0,0,0,11,0,0,547,0,2.89,47,1896-02-12,6,5,2,1,0
