Monthly Climate Data Summaries ( por - por )

Station:,MISSOULA 6 NW WFO,State:,MT,ID:,245740
Latitude:,46.9244 degreeN,Longitude:,114.0911 degreeW,Elevation:,3197.0 feet
Station period of record:,maxt: 04/05/1893-10/23/2019; mint: 04/05/1893-10/23/2019; avgt: 04/05/1893-10/23/2019; hdd: 04/05/1893-10/23/2019; cdd: 04/05/1893-10/23/2019; pcpn: 04/05/1893-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1895,JAN,27.7,5.0,16.3,45,13,-19,27,0,0,21,0,31,0,11,1500,0,1.54,50,1895-01-23,11,5,1,0,0
1895,FEB,35.6,12.4,24.0,60,28,-20,13,0,0,11,0,28,0,7,1142,0,0.22,10,1895-02-02,4,1,0,0,0
1895,MAR,45.3,21.4,33.4,67,27,2,14,1,0,4,1,30,0,0,942,0,0.19,08,1895-03-24,5,0,0,0,1
1895,APR,60.8,27.5,44.2,78,28,20,07,0,0,0,0,26,0,0,618,0,0.35,16,1895-04-27,4,2,0,0,0
1895,MAY,64.6,35.8,50.2,80,20,25,10,0,0,0,0,9,0,0,450,0,1.06,34,1895-05-20,7,4,0,0,0
1895,JUN,68.5,40.4,54.4,90,30,31,16,0,1,0,0,2,0,0,318,8,1.19,25,1895-06-06,8,6,0,0,0
1895,JUL,79.0,46.5,62.8,91,30,39,20,0,2,0,0,0,0,0,109,50,1.51,42,1895-07-19,6,5,0,0,0
1895,AUG,81.5,43.6,62.6,94,04,34,14,0,3,0,0,0,0,0,107,40,0.23,17,1895-08-29,2,1,0,0,0
1895,SEP,66.5,35.8,51.2,89,01,25,26,0,0,0,0,14,0,0,417,7,1.04,18,1895-09-13,10,5,0,0,0
1895,OCT,62.0,24.9,43.5,75,13,13,31,1,0,0,1,24,0,0,640,0,0.16,08,1895-10-03,3,0,0,0,1
1895,NOV,41.7,20.8,31.2,62,18,2,23,0,0,9,0,29,0,0,1006,0,0.58,39,1895-11-01,5,1,0,0,0
1895,DEC,32.7,11.1,21.9,51,11,-6,18,0,0,17,0,30,0,6,1331,0,1.52,50,1895-12-23,7,5,1,0,0
1895,ANNUAL,55.6,27.2,41.41,94,,-20,,2,6,62,2,223,0,24,8580,105,9.59,,0.50,72,35,2,0,2

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1896,JAN,34.0,13.4,23.7,50,27,-6,03,0,0,10,0,31,0,6,1270,0,1.41,65,1896-01-16,6,4,1,0,0
1896,FEB,39.3,19.0,29.2,60,26,8,11,1,0,6,1,28,0,0,996,0,0.49,18,1896-02-28,5,2,0,0,1
1896,MAR,40.7,18.0,29.4,63,24,-7,03,0,0,7,0,29,0,4,1094,0,1.09,34,1896-03-13,11,4,0,0,0
1896,APR,52.2,26.7,39.4,67,25,16,02,0,0,1,0,25,0,0,760,0,0.65,18,1896-04-26,9,3,0,0,0
1896,MAY,57.6,34.1,45.9,79,30,24,01,0,0,0,0,16,0,0,586,0,1.73,78,1896-05-10,10,3,1,0,0
1896,JUN,76.4,42.8,59.6,96,30,30,11,1,2,0,1,2,0,0,179,31,0.86,40,1896-06-30,7,2,0,0,1
1896,JUL,84.6,50.7,67.7,97,06,42,30,0,11,0,0,0,0,0,43,133,0.58,28,1896-07-28,5,3,0,0,0
1896,AUG,79.9,45.8,62.9,90,30,38,23,0,3,0,0,0,0,0,97,39,2.53,11,1896-08-31,5,5,2,1,0
1896,SEP,67.6,36.7,52.1,87,07,29,29,0,0,0,0,9,0,0,380,1,1.74,96,1896-09-12,2,2,2,0,0
1896,OCT,61.0,27.9,44.4,76,02,21,10,0,0,0,0,28,0,0,630,0,1.13,90,1896-10-25,3,2,1,0,0
1896,NOV,36.2,19.8,28.0,60,16,-10,29,0,0,9,0,25,0,5,1101,0,1.92,86,1896-11-17,10,6,1,0,0
1896,DEC,38.2,23.9,30.8,59,10,5,01,1,0,9,1,30,0,0,985,0,0.50,28,1896-12-01,5,2,0,0,0
1896,ANNUAL,55.8,30.0,42.87,97,,-10,,3,16,42,3,223,0,15,8121,204,14.63,,1.11,78,38,8,1,2

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1897,JAN,27.2,10.3,18.8,48,09,-17,26,0,0,24,0,31,0,6,1425,0,0.73,18,1897-01-16,12,2,0,0,0
1897,FEB,32.4,13.9,23.1,43,05,1,19,2,0,14,2,26,0,0,1040,0,1.28,73,1897-02-11,8,3,1,0,1
1897,MAR,40.9,15.9,28.6,53,26,-6,13,0,0,4,1,30,0,2,1086,0,0.42,14,1897-03-25,7,2,0,0,0
1897,APR,61.3,32.2,46.8,80,27,22,01,0,0,0,0,17,0,0,538,0,1.46,70,1897-04-04,4,4,1,0,0
1897,MAY,75.8,42.2,59.0,88,30,33,09,0,0,0,0,0,0,0,192,12,1.09,75,1897-05-20,3,2,1,0,0
1897,JUN,71.6,48.9,60.2,85,13,35,11,1,0,0,1,0,0,0,154,23,3.88,90,1897-06-02,10,10,3,0,1
1897,JUL,76.2,49.1,62.7,91,12,40,07,0,2,0,0,0,0,0,111,46,2.14,55,1897-07-18,10,8,2,0,0
1897,AUG,85.3,51.7,68.4,95,11,40,01,1,6,0,1,0,0,0,30,137,0.83,40,1897-08-30,3,3,0,0,0
1897,SEP,69.4,41.4,55.4,82,26,33,16,0,0,0,0,0,0,0,281,0,3.42,85,1897-09-13,6,6,4,0,0
