Monthly Climate Data Summaries ( por - por )

Station:,NY CITY CENTRAL PARK,State:,NY,ID:,94728
Latitude:,40.77898 degreeN,Longitude:,73.96925 degreeW,Elevation:,140.0 feet
Station period of record:,maxt: 01/01/1869-10/23/2019; mint: 01/01/1869-10/23/2019; avgt: 01/01/1869-10/23/2019; hdd: 01/01/1869-10/23/2019; cdd: 01/01/1869-10/23/2019; pcpn: 01/01/1869-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1895,JAN,35.8,23.5,29.6,51,07,11,05,0,0,12,0,26,0,0,1091,0,5.01,95,1895-01-26,13,7,4,1,0
1895,FEB,30.8,17.9,24.3,46,28,-4,06,0,0,15,0,27,0,2,1129,0,0.46,17,1895-02-07,3,3,0,0,0
1895,MAR,42.6,28.5,35.5,58,01,15,05,0,0,3,0,25,0,0,905,0,2.26,55,1895-03-02,12,6,1,0,0
1895,APR,56.9,43.3,50.1,86,25,31,04,0,0,0,0,3,0,0,450,7,3.31,61,1895-04-08,10,7,1,1,0
1895,MAY,72.3,54.3,63.3,96,31,39,13,0,3,0,0,0,1,0,152,109,2.02,14,1895-05-27,8,4,1,1,0
1895,JUN,81.8,65.8,73.8,96,02,54,07,0,3,0,0,0,2,0,2,273,2.47,84,1895-06-05,9,6,1,0,0
1895,JUL,80.5,65.8,73.1,95,21,57,31,0,4,0,0,0,2,0,0,261,4.54,20,1895-07-04,12,8,3,1,0
1895,AUG,83.8,68.5,76.2,92,10,52,22,0,6,0,0,0,6,0,3,357,4.16,09,1895-08-04,10,5,4,2,0
1895,SEP,79.7,63.6,71.7,97,23,47,30,0,7,0,0,0,4,0,38,245,0.62,21,1895-09-26,6,4,0,0,0
1895,OCT,59.7,44.9,52.3,70,19,37,30,0,0,0,0,0,0,0,388,0,4.21,65,1895-10-12,6,4,3,3,0
1895,NOV,54.4,41.5,47.9,72,09,26,22,0,0,0,0,3,0,0,508,3,3.83,16,1895-11-26,9,6,3,2,0
1895,DEC,44.8,31.9,38.4,60,31,13,13,0,0,6,0,17,0,0,815,0,2.48,14,1895-12-31,8,5,1,1,0
1895,ANNUAL,60.4,45.9,53.17,97,,-4,,0,23,36,0,101,15,2,5481,1255,35.37,,1.95,106,65,22,12,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1896,JAN,36.0,24.0,30.0,49,29,-2,06,0,0,9,0,26,0,1,1078,0,0.96,85,1896-01-24,4,1,1,0,0
1896,FEB,38.7,24.3,31.5,57,06,-5,17,0,0,7,0,22,0,1,966,0,6.83,74,1896-02-06,11,7,3,2,0
1896,MAR,39.9,25.5,32.7,60,31,14,13,0,0,9,0,24,0,0,993,0,5.28,31,1896-03-16,14,8,5,2,0
1896,APR,60.5,45.1,52.8,90,18,24,04,0,1,0,0,5,0,0,400,42,1.27,65,1896-04-07,6,4,1,0,0
1896,MAY,75.5,58.9,67.2,92,10,45,01,0,3,0,0,0,0,0,73,148,2.51,80,1896-05-28,10,8,1,0,0
1896,JUN,77.7,62.9,70.3,92,21,52,15,0,2,0,0,0,0,0,12,178,5.72,38,1896-06-14,11,8,4,2,0
1896,JUL,84.1,70.0,77.0,93,02,60,17,0,8,0,0,0,8,0,0,382,7.41,97,1896-07-06,11,9,6,4,0
1896,AUG,83.7,69.4,76.5,98,09,57,20,0,10,0,0,0,9,0,0,364,1.53,29,1896-08-14,11,8,0,0,0
1896,SEP,74.6,60.2,67.4,89,11,46,23,0,0,0,0,0,0,0,45,125,4.74,02,1896-09-05,9,8,4,1,0
1896,OCT,59.2,48.3,53.7,72,31,36,25,0,0,0,0,0,0,0,342,0,1.74,70,1896-10-13,9,5,1,0,0
1896,NOV,55.6,43.9,49.7,72,27,29,30,0,0,0,0,2,0,0,450,1,2.84,23,1896-11-05,9,6,2,1,0
1896,DEC,40.0,28.9,34.5,57,13,9,24,0,0,8,0,19,0,0,940,0,1.13,55,1896-12-16,6,4,1,0,0
1896,ANNUAL,60.5,46.8,53.66,98,,-5,,0,24,33,0,98,17,2,5299,1240,41.96,,2.74,111,76,29,12,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1897,JAN,36.7,24.8,30.8,55,04,6,26,0,0,11,0,22,0,0,1055,0,3.00,45,1897-01-21,10,6,1,1,0
1897,FEB,38.5,28.1,33.3,51,21,19,27,0,0,4,0,18,0,0,881,0,2.52,98,1897-02-12,9,7,2,0,0
1897,MAR,47.0,34.8,40.9,60,30,19,17,0,0,1,0,12,0,0,741,0,2.39,54,1897-03-14,11,7,1,0,0
1897,APR,58.5,42.7,50.6,77,25,24,20,0,0,0,0,2,0,0,426,2,2.67,97,1897-04-09,10,6,1,0,0
1897,MAY,69.4,53.7,61.5,81,10,40,08,0,0,0,0,0,0,0,120,21,5.77,32,1897-05-13,13,8,4,3,0
1897,JUN,75.1,59.9,67.5,89,30,49,21,0,0,0,0,0,0,0,38,119,2.95,89,1897-06-09,11,4,1,1,0
1897,JUL,83.3,70.5,76.9,93,06,64,29,0,5,0,0,0,4,0,0,377,9.56,29,1897-07-13,15,9,7,3,0
1897,AUG,80.1,66.7,73.4,89,15,61,29,0,0,0,0,0,1,0,0,268,3.77,27,1897-08-24,13,6,2,1,0
1897,SEP,75.0,59.1,67.1,93,10,45,28,0,3,0,0,0,0,0,68,137,1.81,02,1897-09-02,5,3,1,1,0
1897,OCT,63.8,49.7,56.8,87,16,39,31,0,0,0,0,0,0,0,273,28,0.72,32,1897-10-12,6,3,0,0,0
1897,NOV,51.5,39.9,45.7,68,16,23,24,0,0,0,0,6,0,0,571,0,4.52,21,1897-11-01,12,9,4,2,0
1897,DEC,44.3,33.0,38.6,63,11,17,25,0,0,4,0,16,0,0,809,0,4.87,22,1897-12-14,12,8,2,1,0
1897,ANNUAL,60.4,47.0,53.71,93,,6,,0,8,20,0,76,5,0,4982,952,44.55,,2.29,127,76,26,13,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1898,JAN,40.9,29.7,35.3,56,23,10,30,0,0,6,0,16,0,0,912,0,4.26,03,1898-01-23,15,9,4,1,0
1898,FEB,42.2,30.1,36.2,58,10,8,02,0,0,3,0,13,0,0,801,0,4.22,07,1898-02-20,10,5,2,1,0
1898,MAR,52.5,39.8,46.1,69,19,26,01,0,0,0,0,4,0,0,576,0,2.78,57,1898-03-21,14,10,2,0,0
1898,APR,54.1,41.7,47.9,74,17,26,06,0,0,0,0,5,0,0,506,0,3.25,36,1898-04-24,13,7,2,1,0
1898,MAY,64.8,53.4,59.1,86,20,40,08,0,0,0,0,0,0,0,195,19,6.72,36,1898-05-08,17,12,6,3,0
1898,JUN,79.7,63.9,71.8,94,25,54,23,0,2,0,0,0,0,0,6,214,1.25,32,1898-06-22,8,5,0,0,0
1898,JUL,84.2,69.6,76.9,100,03,57,11,0,9,0,0,0,5,0,2,377,4.41,17,1898-07-13,10,7,3,1,0
1898,AUG,82.5,69.5,76.0,93,24,59,28,0,4,0,0,0,3,0,0,348,3.47,15,1898-08-05,12,6,3,1,0
1898,SEP,78.3,63.5,70.9,93,03,52,21,0,6,0,0,0,5,0,22,208,1.70,88,1898-09-23,7,4,1,0,0
1898,OCT,65.4,53.7,59.5,81,05,41,28,0,0,0,0,0,2,0,213,52,6.05,25,1898-10-26,11,10,5,2,0
1898,NOV,51.0,40.6,45.8,66,10,25,26,0,0,1,0,7,0,0,569,0,6.72,38,1898-11-10,14,12,6,2,0
1898,DEC,40.0,30.0,35.0,57,30,13,14,0,0,4,0,17,0,0,922,0,3.07,04,1898-12-04,9,6,3,1,0
1898,ANNUAL,61.4,48.9,55.15,100,,8,,0,21,14,0,62,15,0,4724,1218,47.90,,3.07,140,93,37,13,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1899,JAN,37.7,25.0,31.3,53,05,7,11,0,0,8,0,23,0,0,1038,0,3.97,55,1899-01-24,11,6,2,2,0
1899,FEB,33.9,22.2,28.1,53,21,-6,10,0,0,10,0,20,0,3,1025,0,3.91,00,1899-02-26,14,10,2,1,0
1899,MAR,44.2,32.2,38.2,63,12,19,21,0,0,0,0,14,0,0,826,0,5.77,25,1899-03-22,14,12,5,1,0
1899,APR,56.9,42.6,49.8,78,26,28,03,0,0,0,0,6,0,0,455,5,1.74,35,1899-04-07,4,2,1,1,0
1899,MAY,70.8,54.9,62.8,88,28,48,04,0,0,0,0,0,0,0,115,54,1.09,69,1899-05-11,7,2,1,0,0
1899,JUN,83.3,66.0,74.7,95,06,57,17,0,7,0,0,0,2,0,0,298,2.26,81,1899-06-15,8,6,2,0,0
1899,JUL,84.5,69.6,77.0,95,27,59,01,0,5,0,0,0,5,0,0,382,4.47,80,1899-07-08,11,8,3,1,0
1899,AUG,82.5,69.4,75.9,94,05,60,09,0,4,0,0,0,4,0,0,346,3.41,29,1899-08-10,9,4,1,1,0
1899,SEP,72.8,59.3,66.0,86,08,45,30,0,0,0,0,0,0,0,55,93,6.12,12,1899-09-02,11,7,5,2,0
1899,OCT,64.6,53.4,59.0,79,18,38,22,0,0,0,0,0,0,0,208,29,2.13,11,1899-10-31,7,3,2,1,0
1899,NOV,52.1,40.6,46.4,64,01,31,13,0,0,0,0,2,0,0,553,0,1.79,72,1899-11-03,8,5,1,0,0
1899,DEC,43.9,32.2,38.1,59,12,9,31,0,0,5,0,15,0,0,824,0,1.91,04,1899-12-24,9,3,1,1,0
1899,ANNUAL,60.8,47.4,54.10,95,,-6,,0,16,23,0,80,11,3,5099,1207,38.57,,2.29,113,68,26,11,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1900,JAN,38.7,25.5,32.1,57,20,10,31,0,0,5,0,24,0,0,1011,0,4.22,46,1900-01-11,11,7,3,2,0
1900,FEB,37.4,23.6,30.5,57,13,5,27,0,0,7,0,22,0,0,961,0,5.38,31,1900-02-13,10,9,4,2,0
