Monthly Climate Data Summaries ( por - por )

Station:,SAN FRANCISCO DOWNTOWN,State:,CA,ID:,23272
Latitude:,37.7705 degreeN,Longitude:,122.4269 degreeW,Elevation:,150.0 feet
Station period of record:,maxt: 06/01/1874-10/22/2019; mint: 01/01/1875-10/22/2019; avgt: 01/01/1875-10/22/2019; hdd: 01/01/1875-10/22/2019; cdd: 01/01/1875-10/22/2019; pcpn: 01/01/1875-10/22/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1895,JAN,53.0,44.3,48.6,63,12,38,27,0,0,0,0,0,0,0,502,0,6.99,96,1895-01-04,13,10,5,2,0
1895,FEB,60.2,47.4,53.8,69,27,41,05,0,0,0,0,0,0,0,306,0,2.31,96,1895-02-11,6,4,2,0,0
1895,MAR,57.1,47.2,52.1,70,25,40,13,0,0,0,0,0,0,0,391,0,1.89,67,1895-03-20,9,5,1,0,0
1895,APR,60.6,49.1,54.8,73,07,44,04,1,0,0,0,0,0,0,287,0,1.24,54,1895-04-27,6,3,1,0,0
1895,MAY,63.9,51.4,57.6,89,11,48,28,0,0,0,0,0,0,0,249,29,0.60,26,1895-05-01,6,2,0,0,0
1895,JUN,M,51.6,M,M,M,48,21,30,M,M,0,0,0,0,M,M,0.00,00,1895-06-30,0,0,0,0,0
1895,JUL,63.4,53.6,58.4,83,07,50,28,0,0,0,1,0,0,0,199,7,0.01,01,1895-07-05,1,0,0,0,0
1895,AUG,63.4,53.2,58.3,80,02,50,19,2,0,0,0,0,0,0,194,6,0.00,00,1895-08-31,0,0,0,0,0
1895,SEP,67.2,54.2,60.7,89,26,51,30,0,0,0,0,0,0,0,154,33,0.77,56,1895-09-12,4,1,1,0,0
1895,OCT,65.2,52.0,58.6,83,03,48,31,0,0,0,0,0,0,0,201,13,0.11,06,1895-10-15,4,0,0,0,0
1895,NOV,62.4,49.9,56.1,83,16,42,26,0,0,0,0,0,0,0,280,18,1.78,04,1895-11-05,7,5,1,1,0
1895,DEC,53.5,43.8,48.7,60,08,39,30,0,0,0,0,0,0,0,495,0,1.43,34,1895-12-21,9,6,0,0,0
1895,ANNUAL,60.9,49.8,55.23,89,,38,,33,0,0,1,0,0,0,3258,106,17.13,,1.96,65,36,11,3,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1896,JAN,57.0,47.5,52.3,63,20,40,06,0,0,0,0,0,0,0,387,0,8.14,35,1896-01-27,14,13,8,3,0
1896,FEB,62.5,48.1,55.3,72,19,44,29,0,0,0,0,0,0,0,274,0,0.28,18,1896-02-01,5,1,0,0,0
1896,MAR,60.4,48.2,54.3,72,23,33,03,0,0,0,0,0,0,0,324,0,2.85,74,1896-03-16,13,8,2,0,0
1896,APR,56.6,46.7,51.7,66,01,41,19,1,0,0,0,0,0,0,379,0,5.16,90,1896-04-24,15,9,4,1,0
1896,MAY,62.2,50.4,56.3,91,26,45,09,0,1,0,0,0,0,0,280,20,0.72,33,1896-05-21,5,2,0,0,0
1896,JUN,M,50.6,M,M,M,47,13,30,M,M,0,0,0,0,M,M,0.00,00,1896-06-30,0,0,0,0,0
1896,JUL,65.3,53.5,59.4,72,09,50,06,0,0,0,0,0,0,0,165,0,0.04,04,1896-07-11,1,0,0,0,0
1896,AUG,64.6,54.1,59.3,72,18,52,27,2,0,0,0,0,0,0,157,0,0.09,06,1896-08-30,3,0,0,0,0
1896,SEP,64.9,54.4,59.6,81,26,52,30,0,0,0,0,0,0,0,159,6,0.52,40,1896-09-22,5,1,0,0,0
1896,OCT,65.7,52.0,58.9,85,05,47,14,0,0,0,0,0,0,0,204,20,1.53,94,1896-10-27,4,2,2,0,2
1896,NOV,58.5,48.4,53.5,66,14,38,27,0,0,0,0,0,0,0,336,0,4.56,00,1896-11-23,8,7,2,2,0
1896,DEC,57.7,47.8,52.7,64,08,42,19,0,0,0,0,0,0,0,372,0,4.34,65,1896-12-16,11,7,4,1,0
1896,ANNUAL,61.4,50.2,55.75,91,,33,,33,1,0,0,0,0,0,3037,46,28.23,,2.00,84,50,22,7,2

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1897,JAN,53.2,44.0,48.6,60,09,40,11,0,0,0,0,0,0,0,502,0,2.26,08,1897-01-31,8,3,2,1,0
1897,FEB,55.3,46.1,50.7,66,25,38,20,0,0,0,0,0,0,0,395,0,4.41,23,1897-02-01,17,8,3,1,0
1897,MAR,53.9,43.9,48.9,63,15,39,29,0,0,0,0,0,0,0,491,0,4.56,33,1897-03-28,15,9,3,1,0
1897,APR,65.3,49.7,57.6,84,24,45,16,1,0,0,0,0,0,0,224,17,0.27,20,1897-04-01,3,1,0,0,0
1897,MAY,63.6,51.3,57.5,88,19,47,05,0,0,0,0,0,0,0,241,16,0.61,59,1897-05-17,2,1,1,0,0
1897,JUN,M,52.0,M,M,M,48,18,30,M,M,0,0,0,0,M,M,0.22,16,1897-06-20,3,1,0,0,0
1897,JUL,65.1,51.2,58.1,82,12,47,10,0,0,0,0,0,0,0,206,3,T,T,1897-07-22,0,0,0,0,0
1897,AUG,62.3,52.3,57.2,70,18,49,06,2,0,0,0,0,0,0,218,0,T,T,1897-08-15,0,0,0,0,0
1897,SEP,67.5,54.1,60.8,92,16,50,20,0,1,0,0,0,0,0,145,25,0.10,08,1897-09-30,2,0,0,0,0
1897,OCT,64.3,52.6,58.5,85,04,48,29,0,0,0,0,0,0,0,209,15,1.70,41,1897-10-23,4,2,1,1,0
1897,NOV,58.8,47.5,53.2,68,10,44,27,0,0,0,1,0,0,0,340,0,1.05,42,1897-11-23,8,4,0,0,0
1897,DEC,56.2,44.9,50.5,63,30,34,04,0,0,0,0,0,0,0,440,0,1.22,75,1897-12-07,5,3,1,0,0
1897,ANNUAL,60.5,49.1,54.68,92,,34,,33,1,0,1,0,0,0,3411,76,16.40,,1.41,67,32,11,4,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1898,JAN,51.8,41.5,46.7,59,02,36,25,0,0,0,0,0,0,0,560,0,1.12,32,1898-01-06,8,3,0,0,0
1898,FEB,58.1,47.4,52.7,70,14,43,21,0,0,0,0,0,0,0,334,0,2.13,78,1898-02-24,11,6,1,0,0
1898,MAR,56.7,45.6,51.2,74,11,40,16,0,0,0,0,0,0,0,418,0,0.24,08,1898-03-08,5,0,0,0,0
