Monthly Climate Data Summaries ( por - por )

Station:,SPOKANE INTL AP,State:,WA,ID:,24157
Latitude:,47.62167 degreeN,Longitude:,117.52806 degreeW,Elevation:,2358.0 feet
Station period of record:,maxt: 02/01/1881-10/23/2019; mint: 02/01/1881-10/23/2019; avgt: 02/01/1881-10/23/2019; hdd: 02/01/1881-10/23/2019; cdd: 02/01/1881-10/23/2019; pcpn: 02/01/1881-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1895,JAN,33.6,22.0,27.8,47,13,10,31,0,0,16,0,27,0,0,1147,0,3.04,61,1895-01-12,16,11,1,0,0
1895,FEB,43.4,27.7,35.5,56,26,8,14,0,0,1,0,19,0,0,818,0,0.82,30,1895-02-21,6,3,0,0,0
1895,MAR,49.0,29.5,39.3,65,27,10,14,0,0,2,0,22,0,0,788,0,0.57,22,1895-03-23,9,2,0,0,0
1895,APR,61.6,38.0,49.8,78,23,27,06,0,0,0,0,4,0,0,448,0,0.79,20,1895-04-10,10,3,0,0,0
1895,MAY,65.0,44.4,54.7,84,17,34,31,0,0,0,0,0,0,0,314,3,1.58,54,1895-05-26,11,5,1,0,0
1895,JUN,73.7,50.5,62.1,91,29,41,15,0,2,0,0,0,0,0,129,51,0.42,21,1895-06-16,5,2,0,0,0
1895,JUL,79.8,54.9,67.3,93,23,47,18,0,1,0,0,0,0,0,32,114,0.42,16,1895-07-30,5,3,0,0,0
1895,AUG,82.8,52.2,67.5,95,02,42,14,0,8,0,0,0,0,0,26,112,0.03,03,1895-08-30,1,0,0,0,0
1895,SEP,63.5,44.1,53.8,89,01,30,21,0,0,0,0,2,0,0,334,7,1.34,93,1895-09-12,8,3,1,0,0
1895,OCT,65.5,35.5,50.5,76,12,22,27,0,0,0,0,10,0,0,443,0,T,T,1895-10-25,0,0,0,0,0
1895,NOV,43.9,30.1,37.0,56,19,11,23,0,0,2,0,17,0,0,831,0,1.96,53,1895-11-02,9,6,1,0,0
1895,DEC,36.1,26.7,31.4,52,12,9,22,0,0,11,0,25,0,0,1032,0,2.49,88,1895-12-19,18,6,2,0,0
1895,ANNUAL,58.3,38.0,48.14,95,,8,,0,11,32,0,126,0,0,6342,287,13.46,,0.93,98,44,6,0,0

