Monthly Climate Data Summaries ( por - por )

Station:,ANN ARBOR U OF MICH,State:,MI,ID:,200230
Latitude:,42.29806 degreeN,Longitude:,83.66388 degreeW,Elevation:,813.0 feet
Station period of record:,maxt: 03/01/1881-10/23/2019; mint: 03/01/1881-10/23/2019; avgt: 03/01/1881-10/23/2019; hdd: 03/01/1881-10/23/2019; cdd: 03/01/1881-10/23/2019; pcpn: 03/01/1881-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1895,JAN,26.6,10.1,18.4,47,21,-7,28,0,0,25,0,31,0,5,1439,0,M,M,M,M,M,M,M,12
1895,FEB,23.8,8.0,15.9,51,28,-10,05,0,0,21,0,27,0,8,1368,0,M,M,M,M,M,M,M,14
1895,MAR,37.6,17.6,27.6,60,27,-2,14,0,0,8,0,29,0,1,1148,0,M,M,M,M,M,M,M,19
1895,APR,58.9,37.8,48.4,79,24,25,11,0,0,0,0,7,0,0,492,0,M,M,M,M,M,M,M,19
1895,MAY,70.9,47.8,59.4,91,31,32,21,0,3,0,0,1,0,0,258,88,M,M,M,M,M,M,M,18
1895,JUN,83.6,59.2,71.4,94,03,45,06,0,7,0,0,0,0,0,15,214,M,M,M,M,M,M,M,23
1895,JUL,82.9,58.5,70.7,94,07,48,31,0,4,0,0,0,0,0,13,197,M,M,M,M,M,M,M,22
1895,AUG,81.6,58.7,70.1,91,10,48,20,0,2,0,0,0,0,0,12,178,M,M,M,M,M,M,M,20
1895,SEP,77.0,55.4,66.2,92,22,37,30,0,6,0,0,0,0,0,98,143,0.94,49,1895-09-26,6,3,0,0,0
1895,OCT,55.6,35.5,45.5,68,26,19,21,0,0,0,0,10,0,0,596,0,0.34,15,1895-10-11,3,2,0,0,0
1895,NOV,46.2,27.2,37.2,68,07,8,21,2,0,2,1,21,0,0,745,0,3.42,40,1895-11-26,11,9,2,1,1
1895,DEC,35.7,20.6,28.2,54,19,-3,13,0,0,12,0,24,0,1,1134,0,M,M,M,M,M,M,M,9
