Monthly Climate Data Summaries ( por - por )

Station:,AURORA,State:,IL,ID:,110338
Latitude:,41.78038 degreeN,Longitude:,88.30925 degreeW,Elevation:,660.0 feet
Station period of record:,maxt: 09/01/1887-10/22/2019; mint: 09/01/1887-10/22/2019; avgt: 09/01/1887-10/22/2019; hdd: 09/01/1887-10/22/2019; cdd: 09/01/1887-10/22/2019; pcpn: 09/01/1887-10/22/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1895,JAN,27.3,5.1,16.2,70,04,-16,28,0,0,23,0,31,0,10,1504,0,0.17,14,1895-01-20,2,1,0,0,0
1895,FEB,24.5,5.6,15.1,62,28,-19,05,0,0,20,0,24,0,14,1393,0,0.09,09,1895-02-27,1,0,0,0,0
1895,MAR,43.5,21.6,32.5,82,29,8,15,0,0,5,0,26,0,0,1001,0,0.87,83,1895-03-31,2,1,1,0,0
1895,APR,62.0,38.2,50.1,86,30,26,03,0,0,0,0,7,0,0,446,4,1.48,77,1895-04-07,7,4,1,0,0
1895,MAY,72.9,46.9,59.9,94,31,28,21,0,3,0,0,4,0,0,263,113,3.33,03,1895-05-04,11,7,3,1,0
1895,JUN,86.0,58.4,72.2,99,03,42,06,0,8,0,0,0,0,0,8,232,1.66,88,1895-06-12,7,4,1,0,0
1895,JUL,85.1,58.0,71.5,99,07,45,31,0,8,0,0,0,0,0,8,216,5.03,53,1895-07-21,9,8,3,1,0
1895,AUG,88.6,57.8,73.2,98,16,45,20,0,15,0,0,0,0,0,1,264,3.92,35,1895-08-23,6,3,1,1,0
1895,SEP,80.7,55.1,67.9,94,11,29,30,0,7,0,0,1,0,0,86,183,1.77,97,1895-09-04,8,3,1,0,0
1895,OCT,58.8,30.8,44.8,79,02,12,30,1,0,0,1,18,0,0,598,0,1.11,55,1895-10-06,4,2,1,0,1
1895,NOV,42.8,24.9,33.9,70,05,-2,27,0,0,5,0,21,0,1,928,0,4.92,60,1895-11-26,10,8,5,1,0
1895,DEC,38.6,22.6,30.7,56,24,-6,03,1,0,8,0,25,0,2,1029,0,5.89,83,1895-12-20,10,7,2,2,0
1895,ANNUAL,59.5,35.6,47.55,99,,-19,,2,41,61,1,157,0,27,7265,1012,30.24,,3.35,77,48,19,6,1

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1896,JAN,39.4,19.9,M,62,29,-8,04,3,0,7,3,26,0,3,865,0,M,M,M,M,M,M,M,30
1896,FEB,40.7,M,M,66,27,M,M,2,0,8,6,21,0,4,767,0,M,M,M,M,M,M,M,27
1896,MAR,44.6,23.4,M,71,31,2,13,2,0,1,2,26,0,0,845,0,M,M,M,M,M,M,M,22
1896,APR,69.1,44.5,56.8,88,28,20,02,0,0,0,0,9,0,0,302,56,3.75,31,1896-04-23,8,7,3,1,1
1896,MAY,82.9,55.1,68.9,96,10,40,03,1,9,0,0,0,0,0,32,150,M,M,M,M,M,M,M,23
1896,JUN,84.9,57.9,71.5,95,20,42,11,1,10,0,1,0,0,0,19,204,M,M,M,M,M,M,M,23
1896,JUL,88.2,61.8,75.0,100,14,46,17,0,17,0,0,0,1,0,5,315,5.60,75,1896-07-23,8,7,4,2,0
1896,AUG,87.6,62.0,74.9,102,08,42,28,0,10,0,2,0,1,0,7,294,M,M,M,M,M,M,M,29
1896,SEP,72.1,49.7,60.5,90,10,32,23,1,3,0,1,2,0,0,163,36,M,M,M,M,M,M,M,20
1896,OCT,60.8,36.1,47.9,78,28,24,25,1,0,0,2,11,0,0,480,2,M,M,M,M,M,M,M,28
1896,NOV,M,M,M,M,M,M,M,4,0,5,4,19,0,0,644,0,M,M,M,M,M,M,M,18
1896,DEC,38.8,24.3,31.9,58,12,2,01,1,0,8,1,26,0,0,961,0,0.16,05,1896-12-28,4,0,0,0,0
1896,ANNUAL,63.6,40.8,52.73,102,,-14,,16,49,29,22,140,2,7,5090,1057,25.43,,2.38,71,44,16,7,221

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1897,JAN,31.3,M,M,58,01,M,M,3,0,13,4,25,0,7,1063,0,M,M,M,M,M,M,M,17
1897,FEB,36.4,22.1,29.3,44,19,-4,27,1,0,8,1,27,0,1,926,0,M,M,M,M,M,M,M,16
1897,MAR,45.0,26.4,35.8,67,30,12,15,1,0,5,1,22,0,0,842,0,M,M,M,M,M,M,M,20
1897,APR,60.0,38.2,M,84,28,18,20,2,0,0,2,7,0,0,409,4,M,M,M,M,M,M,M,15
1897,MAY,75.9,43.3,59.6,92,07,31,01,0,5,0,0,2,0,0,197,33,M,M,M,M,M,M,M,24
1897,JUN,85.4,55.6,70.5,106,14,40,08,0,10,0,0,0,0,0,38,206,M,M,M,M,M,M,M,21
1897,JUL,93.9,63.3,78.6,108,09,50,14,0,24,0,0,0,1,0,0,423,4.45,94,1897-07-25,8,5,3,2,0
1897,AUG,81.8,57.1,69.5,97,01,42,20,0,2,0,0,0,0,0,8,154,2.23,80,1897-08-23,9,4,2,0,0
1897,SEP,85.2,54.6,69.9,99,13,36,21,0,11,0,0,0,0,0,57,213,0.85,51,1897-09-16,3,2,1,0,0
1897,OCT,71.4,43.6,57.6,93,01,29,29,1,2,0,1,2,0,0,253,48,0.21,19,1897-10-11,2,1,0,0,0
1897,NOV,M,M,M,M,M,M,M,5,0,2,4,15,0,0,543,0,3.89,82,1897-11-14,16,9,3,0,0
1897,DEC,31.2,M,M,54,09,M,M,3,0,15,4,26,0,5,1049,0,1.32,40,1897-12-03,12,3,0,0,0
1897,ANNUAL,63.1,39.2,51.93,108,,-22,,16,54,43,17,126,1,13,5385,1081,31.54,,2.38,112,58,21,8,113

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1898,JAN,34.1,18.3,25.8,50,12,2,24,2,0,13,1,29,0,0,1094,0,4.26,19,1898-01-19,12,5,4,2,0
1898,FEB,33.3,18.4,25.9,53,10,-10,03,0,0,13,0,25,0,3,1089,0,3.21,45,1898-02-19,13,7,1,1,0
1898,MAR,51.2,31.0,41.1,70,16,14,03,0,0,2,0,18,0,0,732,0,5.09,25,1898-03-27,14,5,4,3,0
1898,APR,57.5,36.4,46.9,78,16,21,05,0,0,0,0,10,0,0,537,0,1.30,35,1898-04-09,8,7,0,0,0
1898,MAY,71.1,47.9,59.5,82,27,36,07,1,0,0,1,0,0,0,164,12,M,M,M,M,M,M,M,17
1898,JUN,82.6,59.2,70.9,92,30,46,22,0,3,0,0,0,0,0,11,197,5.39,10,1898-06-25,11,8,2,2,0
1898,JUL,87.6,61.7,74.7,99,24,48,11,0,13,0,0,0,0,0,5,311,1.07,59,1898-07-20,5,3,1,0,0
1898,AUG,82.9,60.5,71.7,94,23,50,13,0,5,0,0,0,0,0,6,222,4.22,00,1898-08-15,11,8,2,1,0
1898,SEP,79.0,57.1,68.0,93,03,41,12,0,4,0,0,0,0,0,42,141,4.25,30,1898-09-22,8,8,4,1,0
1898,OCT,58.1,42.7,50.4,87,03,23,27,0,0,0,0,5,0,0,458,12,4.66,75,1898-10-25,15,10,2,1,0
1898,NOV,43.5,24.3,M,68,04,-2,27,2,0,6,2,21,0,2,817,0,2.60,72,1898-11-21,12,7,1,0,0
1898,DEC,31.5,15.0,23.3,48,29,-3,31,0,0,16,0,30,0,3,1287,0,1.96,19,1898-12-19,8,4,1,1,0
1898,ANNUAL,59.7,39.6,49.75,99,,-10,,5,25,50,4,138,0,8,6242,895,42.14,,2.10,130,80,25,13,17

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1899,JAN,31.7,13.9,22.8,48,16,-15,29,0,0,12,0,29,0,6,1300,0,0.72,30,1899-01-04,9,3,0,0,0
1899,FEB,27.4,7.0,16.8,54,19,-22,09,1,0,16,1,25,0,11,1246,0,1.75,90,1899-02-25,7,4,1,0,0
1899,MAR,37.5,22.0,29.7,63,11,-0,07,0,0,9,0,29,0,1,1088,0,M,M,M,M,M,M,M,19
