Monthly Climate Data Summaries ( por - por )

Station:,BILOXI,State:,MS,ID:,220792
Latitude:,30.393 degreeN,Longitude:,89.0008 degreeW,Elevation:,10.0 feet
Station period of record:,maxt: 06/01/1893-10/23/2019; mint: 06/01/1893-10/23/2019; avgt: 06/01/1893-10/23/2019; hdd: 06/01/1893-10/23/2019; cdd: 06/01/1893-10/23/2019; pcpn: 06/01/1893-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1895,JAN,59.6,39.1,49.3,78,16,23,12,1,0,0,1,8,0,0,446,0,M,M,M,M,M,M,M,20
1895,FEB,52.4,34.0,43.2,64,06,12,08,0,0,0,0,12,0,0,607,0,4.67,93,1895-02-10,7,7,4,2,0
1895,MAR,66.7,49.4,58.1,76,31,30,02,0,0,0,0,1,0,0,229,22,7.13,60,1895-03-30,6,6,4,2,0
1895,APR,72.5,59.0,65.8,80,30,45,03,0,0,0,0,0,0,0,48,79,5.45,00,1895-04-27,3,3,2,2,0
1895,MAY,79.1,65.6,72.4,86,29,49,13,0,0,0,0,0,2,0,10,248,6.25,63,1895-05-22,5,5,3,3,0
1895,JUN,84.7,72.9,78.9,88,28,67,16,1,0,0,0,0,6,0,0,409,17.10,60,1895-06-15,9,9,5,5,0
1895,JUL,87.7,76.0,81.8,92,18,70,26,0,5,0,0,0,24,0,0,531,M,M,M,M,M,M,M,23
1895,AUG,86.5,74.4,80.4,90,27,70,28,0,4,0,0,0,16,0,0,487,7.75,90,1895-08-04,10,10,6,3,0
1895,SEP,86.7,72.4,79.6,90,11,52,30,0,5,0,0,0,12,0,5,450,M,M,M,M,M,M,M,22
1895,OCT,72.1,54.7,63.4,78,15,42,08,0,0,0,0,0,0,0,75,26,M,M,M,M,M,M,M,26
1895,NOV,63.5,48.1,55.8,74,08,32,27,0,0,0,0,2,0,0,290,15,M,M,M,M,M,M,M,26
1895,DEC,56.1,39.4,47.7,64,25,26,31,0,0,0,0,11,0,0,535,0,3.60,80,1895-12-29,4,4,2,1,0
1895,ANNUAL,72.4,57.3,64.86,92,,12,,2,14,0,1,34,60,0,2245,2267,68.66,,10.60,68,68,37,24,117

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
