Annual Summaries for Precipitation (1998)

Station:,CAMDEN,State:,TN,ID:,401352
Latitude:,36.0519 degreeN,Longitude:,88.0828 degreeW,Elevation:,423.0 feet
Station period of record:,pcpn: 08/01/1997-10/24/2019

,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
01,0.00,0.00,0.00,0.61,0.13,0.48,0.00,0.00,0.00,0.00,0.00,0.25
02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
03,0.00,0.00,T,0.44,0.48,0.00,0.00,0.00,0.00,0.25,0.13,0.00
04,0.00,0.00,0.00,0.47,0.00,0.38,0.00,0.00,0.00,0.09,0.00,0.00
05,0.16,T,0.32,0.00,0.00,6.55,0.00,0.00,0.00,0.00,0.00,1.87
06,0.61,0.00,0.58,0.00,0.25,0.33,0.00,0.00,0.00,0.01,0.00,0.00
07,0.69,0.00,0.60,0.00,2.30,0.00,0.00,0.00,0.00,2.20,0.00,0.34
08,0.89,0.00,0.43,0.20,0.00,0.00,0.06,0.30,0.00,0.40,0.12,2.10
09,0.30,0.00,0.06,0.34,0.00,0.06,0.01,0.00,0.00,0.00,0.00,0.03
10,0.00,0.37,0.00,0.00,1.38,0.05,0.00,0.00,0.00,0.00,0.63,0.00
11,0.00,0.87,0.00,0.00,0.00,0.00,0.07,0.09,0.00,0.00,0.00,0.00
12,0.02,0.18,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.57
13,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.00,0.00,0.00,0.05,0.25
14,0.00,0.00,0.00,0.47,0.00,1.78,1.00,0.57,0.00,0.00,0.00,0.00
15,0.22,0.00,0.00,0.00,0.00,0.01,0.44,0.00,0.00,0.00,0.00,0.00
16,0.66,1.03,0.26,0.64,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
17,0.08,1.03,0.05,0.38,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00
18,0.00,0.62,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,0.24,0.00,0.00,0.46,0.00,0.22,0.00,0.00,0.00,0.39,0.28,0.03
20,0.00,0.00,0.40,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00
21,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.00,0.15,0.00,0.00,0.04
22,0.47,0.00,0.00,0.60,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.65
23,0.38,0.04,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00
24,0.00,0.00,0.20,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,T
25,0.00,0.00,0.00,M,0.00,0.00,0.87,0.00,0.00,0.00,0.00,0.00
26,0.00,0.00,0.00,0.00,0.92,0.00,0.02,0.00,0.00,0.00,0.00,0.00
27,0.00,0.28,0.00,0.18,1.04,0.00,0.62,0.00,0.00,0.00,0.00,0.00
28,0.00,0.00,0.00,1.76,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.19
29,0.00,M,0.00,0.21,0.00,S,0.15,0.00,0.00,0.00,0.00,0.00
30,0.00,M,0.00,1.10,0.00,0.55A,0.76,0.00,0.00,0.00,0.00,0.00
31,0.00,M,0.00,M,0.00,M,1.37,0.00,M,0.00,M,0.00

,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Max,0.89,1.03,0.6,1.76,2.3,6.55,1.37,0.57,0.15,2.2,0.63,2.1
DFN,0.72,-0.0,-1.98,3.28,0.96,7.3,2.63,-2.16,-3.53,-0.61,-3.49,0.92
Sum,4.72,4.42,3.06,7.86,7.0,11.71,6.76,0.96,0.26,3.34,1.21,6.32

