Annual Summaries for Precipitation (2008)

Station:,CAMDEN,State:,TN,ID:,401352
Latitude:,36.0519 degreeN,Longitude:,88.0828 degreeW,Elevation:,423.0 feet
Station period of record:,pcpn: 08/01/1997-10/24/2019

,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
01,0.00,M,0.06,1.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.11
02,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03,0.00,M,0.00,0.45,3.60,0.13,0.00,0.00,0.00,0.00,0.00,0.00
04,0.00,M,3.21,2.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54
05,0.00,M,0.06,0.29,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00
06,0.01,M,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00
07,0.00,M,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.18,0.00
08,0.00,M,5.00,0.00,0.18,0.00,0.00,0.00,0.00,3.52,0.00,0.00
09,1.13,0.00,0.00,0.12,0.33,0.00,0.00,0.00,0.00,0.01,0.00,0.00
10,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.00,0.00,0.00,2.92
11,1.55,0.00,0.00,1.32,0.49,0.00,0.03,0.00,0.00,0.00,0.00,0.02
12,0.00,0.57,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0.00,0.82,0.00,M,0.00,0.00,2.00,0.00,0.00,0.00,0.33,0.00
14,0.00,0.01,0.47,0.05A,0.83,1.68,0.00,0.00,0.10,0.00,0.00,0.00
15,0.00,0.00,0.77,T,0.10,0.00,0.00,0.00,0.00,0.00,0.35,0.00
16,0.00,M,0.16,0.00,0.28,0.00,0.00,0.00,0.00,0.01,0.02,0.22
17,0.17,0.93A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.03
18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
19,0.00,0.00,2.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
20,0.00,0.00,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,0.16,0.40,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,0.00
23,0.00,T,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18
24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.52,2.00
25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.12,1.30
26,0.00,M,0.00,0.53,0.00,0.00,0.53,0.04,0.00,0.00,0.00,0.90
27,0.00,0.03A,0.00,0.00,0.75,0.00,0.00,0.07,0.00,0.00,0.00,0.00
28,0.00,0.00,0.14,0.10,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.62
29,0.33,0.08,0.30,0.02,0.00,0.06,0.00,0.00,0.00,0.00,0.15,0.00
30,1.23,M,0.37,0.00,0.00,0.00,0.35,0.02,0.00,0.00,0.23,0.00
31,0.14,M,0.35,M,0.00,M,0.00,0.00,M,0.00,M,0.00

,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Max,1.55,0.82,5.0,2.95,3.6,1.68,2.0,0.97,0.38,3.52,0.52,2.92
DFN,0.72,-1.58,8.6,3.41,1.22,-2.49,-0.14,-2.0,-3.27,1.14,-2.8,3.53
Sum,4.72,1.88,13.64,7.94,7.26,1.92,3.99,1.12,0.52,5.09,1.9,8.93

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1993,JAN,59.1,40.7,49.9,77,23,25,31,0,0,0,0,4,0,0,461,0,4.72,28,1993-01-20,11,9,4,1,0
1993,FEB,61.2,37.1,49.2,80,21,24,19,0,0,0,0,10,0,0,437,1,3.40,92,1993-02-10,7,6,3,0,0
1993,MAR,65.6,43.1,54.4,86,29,19,14,0,0,0,0,5,0,0,327,6,3.84,05,1993-03-25,10,7,3,1,0
1993,APR,73.0,49.0,61.0,84,25,35,03,0,0,0,0,0,0,0,163,48,4.09,31,1993-04-14,10,5,4,2,0
1993,MAY,82.9,59.0,71.0,92,30,46,22,0,5,0,0,0,0,0,5,197,4.31,70,1993-05-01,10,5,3,2,0
1993,JUN,91.8,69.9,80.8,99,15,51,02,0,23,0,0,0,2,0,0,485,3.79,25,1993-06-20,8,6,3,1,0
1993,JUL,92.1,72.9,82.5,96,31,69,12,0,26,0,0,0,9,0,0,547,6.99,27,1993-07-11,10,7,3,2,0
1993,AUG,93.2,72.6,82.9,98,20,68,10,0,28,0,0,0,5,0,0,562,2.47,91,1993-08-06,11,8,1,0,0
1993,SEP,87.8,63.9,75.8,97,01,43,28,0,16,0,0,0,1,0,10,340,2.04,20,1993-09-14,6,5,1,1,0
1993,OCT,73.5,51.0,62.2,87,06,26,31,0,0,0,0,1,0,0,161,82,4.08,88,1993-10-29,8,6,2,1,0
1993,NOV,63.7,40.4,52.0,82,14,24,07,0,0,0,0,11,0,0,401,19,5.39,27,1993-11-14,7,5,3,3,0
1993,DEC,56.3,35.3,45.8,69,28,20,31,0,0,0,0,14,0,0,588,0,3.25,30,1993-12-13,8,6,3,1,0
1993,ANNUAL,75.1,53.0,64.03,99,,19,,0,98,0,0,45,17,0,2553,2287,48.37,,3.27,106,75,33,15,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1994,JAN,51.2,32.5,41.9,70,26,14,19,0,0,1,0,15,0,0,709,0,8.31,72,1994-01-27,7,6,3,2,0
1994,FEB,60.5,38.3,49.4,77,08,20,02,0,0,0,0,12,0,0,437,6,6.14,42,1994-02-05,8,7,3,2,0
1994,MAR,68.9,42.6,55.8,80,23,30,11,0,0,0,0,6,0,0,286,9,5.63,19,1994-03-01,7,5,4,3,0
1994,APR,78.4,54.0,66.2,89,27,31,01,0,0,0,0,1,0,0,88,132,4.32,73,1994-04-05,6,5,2,1,0
1994,MAY,81.2,60.0,70.6,89,29,50,21,0,0,0,0,0,0,0,13,196,2.25,89,1994-05-03,6,2,1,1,0
1994,JUN,89.2,69.6,79.4,95,16,63,01,0,16,0,0,0,2,0,0,437,7.37,67,1994-06-24,11,8,5,2,0
1994,JUL,88.0,69.8,78.9,93,07,61,29,0,11,0,0,0,0,0,0,437,5.09,19,1994-07-11,12,11,4,2,0
1994,AUG,89.0,68.9,79.0,95,30,63,07,0,15,0,0,0,0,0,0,439,4.29,04,1994-08-03,10,6,2,2,0
1994,SEP,85.3,62.6,74.0,92,12,46,25,0,6,0,0,0,0,0,7,283,1.81,78,1994-09-16,4,3,2,0,0
1994,OCT,74.9,57.4,66.2,89,01,38,27,0,0,0,0,0,0,0,67,110,5.12,18,1994-10-11,13,8,5,1,0
1994,NOV,68.4,48.5,58.4,81,03,33,30,0,0,0,0,0,0,0,211,24,2.57,18,1994-11-27,8,4,2,1,0
1994,DEC,58.7,40.6,49.6,76,08,24,12,0,0,0,0,9,0,0,470,4,3.31,17,1994-12-03,10,8,2,1,0
1994,ANNUAL,74.5,53.8,64.17,95,,14,,0,48,1,0,43,2,0,2288,2077,56.21,,4.72,102,73,35,18,0

