Monthly Climate Data Summaries ( por - por )

Station:,LEXINGTON BLUEGRASS AP,State:,KY,ID:,93820
Latitude:,38.0408 degreeN,Longitude:,84.6058 degreeW,Elevation:,980.0 feet
Station period of record:,maxt: 10/11/1872-10/22/2019; mint: 10/11/1872-10/22/2019; avgt: 10/11/1872-10/22/2019; hdd: 10/11/1872-10/22/2019; cdd: 10/11/1872-10/22/2019; pcpn: 10/11/1872-10/22/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1895,JAN,M,M,M,M,M,M,M,4,0,12,4,24,0,2,873,0,5.60,44,1895-01-07,16,10,5,1,0
1895,FEB,31.1,15.6,23.4,68,28,-13,08,0,0,14,0,25,0,5,1158,0,0.52,18,1895-02-07,8,2,0,0,0
1895,MAR,53.5,33.0,M,83,30,20,16,3,0,1,3,15,0,0,538,6,2.79,60,1895-03-13,14,9,1,0,0
1895,APR,65.8,46.0,56.0,82,25,30,03,1,0,0,1,1,0,0,261,12,3.17,01,1895-04-01,12,9,1,1,0
1895,MAY,72.1,52.5,62.3,91,31,33,14,0,1,0,0,0,0,0,194,119,4.05,85,1895-05-06,11,9,4,0,0
1895,JUN,85.1,65.8,75.4,94,03,50,07,0,6,0,0,0,0,0,2,324,2.93,79,1895-06-05,6,6,3,0,0
1895,JUL,82.3,64.8,73.6,94,20,52,31,1,4,0,1,0,0,0,2,260,5.07,34,1895-07-24,14,10,4,1,0
1895,AUG,85.7,66.0,75.8,93,18,54,21,0,7,0,0,0,0,0,1,344,1.56,53,1895-08-24,10,5,1,0,0
1895,SEP,83.4,62.3,72.9,95,20,38,30,0,8,0,0,0,0,0,33,277,0.33,09,1895-09-16,6,0,0,0,0
1895,OCT,63.4,40.9,52.0,78,06,23,30,1,0,0,1,4,0,0,371,1,1.28,53,1895-10-31,7,4,1,0,0
1895,NOV,54.7,35.0,M,78,07,20,27,3,0,0,3,11,0,0,486,3,2.52,98,1895-11-09,9,6,1,0,0
