Monthly Climate Data Summaries ( por - por )

Station:,NEW ORLEANS AUDUBON,State:,LA,ID:,12930
Latitude:,29.9166 degreeN,Longitude:,90.1302 degreeW,Elevation:,20.0 feet
Station period of record:,maxt: 01/01/1893-10/16/2019; mint: 01/01/1893-10/16/2019; avgt: 01/01/1893-10/16/2019; hdd: 01/01/1893-10/16/2019; cdd: 01/01/1893-10/16/2019; pcpn: 01/01/1893-10/16/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1895,JAN,60.7,41.0,50.9,77,07,26,12,0,0,0,0,6,0,0,437,3,8.58,65,1895-01-07,10,9,2,1,0
1895,FEB,53.1,35.1,44.1,73,28,15,08,0,0,2,0,11,0,0,580,0,M,M,M,M,M,M,M,21
1895,MAR,71.3,51.2,61.2,81,28,34,02,0,0,0,0,0,0,0,171,61,M,M,M,M,M,M,M,24
1895,APR,77.1,57.1,67.1,86,29,46,03,0,0,0,0,0,0,0,32,99,2.53,56,1895-04-27,4,4,2,1,0
1895,MAY,83.4,65.5,74.5,90,31,52,12,0,3,0,0,0,1,0,3,300,M,M,M,M,M,M,M,17
1895,JUN,90.4,72.3,81.3,98,21,68,10,0,21,0,0,0,2,0,0,497,M,M,M,M,M,M,M,15
1895,JUL,92.2,74.7,83.5,98,13,71,27,0,26,0,0,0,16,0,0,576,7.62,65,1895-07-21,10,10,5,2,0
1895,AUG,89.9,74.1,82.0,98,08,72,19,0,22,0,0,0,10,0,0,535,6.99,40,1895-08-16,15,9,3,2,0
1895,SEP,88.9,71.9,80.4,93,09,52,30,0,18,0,0,0,8,0,3,470,2.93,90,1895-09-02,10,7,2,0,0
1895,OCT,77.1,56.5,66.8,86,06,47,21,0,0,0,0,0,0,0,35,97,1.45,34,1895-10-31,3,1,1,1,0
1895,NOV,68.5,49.3,59.2,82,08,36,20,0,0,0,1,0,0,0,194,33,1.36,12,1895-11-09,2,2,1,1,0
1895,DEC,62.4,40.1,51.2,74,18,25,05,0,0,0,0,6,0,0,421,2,5.75,90,1895-12-25,5,4,4,3,0
1895,ANNUAL,76.4,57.5,66.99,98,,15,,0,90,2,1,23,37,0,1876,2673,73.15,,6.43,100,81,39,21,77

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1896,JAN,58.7,42.1,50.4,77,31,25,04,0,0,0,0,4,0,0,451,5,2.94,02,1896-01-15,8,5,2,1,0
1896,FEB,64.7,44.1,54.4,72,24,32,17,0,0,0,0,1,0,0,302,1,M,M,M,M,M,M,M,22
1896,MAR,69.8,50.8,60.3,82,31,37,20,0,0,0,0,0,0,0,183,44,6.13,38,1896-03-10,7,5,3,2,1
1896,APR,80.1,60.8,70.5,87,30,40,02,0,0,0,0,0,0,0,23,195,2.63,40,1896-04-14,8,4,2,1,0
1896,MAY,88.4,68.5,78.5,98,23,61,10,0,13,0,0,0,2,0,0,425,1.65,66,1896-05-25,8,5,1,0,0
1896,JUN,89.9,72.1,81.0,97,29,65,15,0,18,0,0,0,6,0,0,487,11.04,81,1896-06-23,14,12,8,3,0
1896,JUL,91.5,74.1,82.8,97,31,70,09,0,25,0,0,0,13,0,0,559,4.44,53,1896-07-18,7,6,4,2,0
1896,AUG,91.6,74.3,82.9,98,21,69,31,0,23,0,0,0,16,0,0,564,3.29,10,1896-08-23,10,10,3,1,0
1896,SEP,87.1,68.7,77.9,93,18,53,29,0,10,0,0,0,2,0,2,395,4.70,73,1896-09-02,8,5,1,1,0
1896,OCT,78.5,59.6,69.1,92,04,46,18,0,2,0,0,0,0,0,10,144,7.48,85,1896-10-28,8,6,2,2,0
1896,NOV,72.8,54.3,63.5,85,11,34,30,0,0,0,0,0,0,0,129,96,4.71,70,1896-11-28,7,4,2,2,0
1896,DEC,M,43.1,M,M,M,31,24,20,0,0,0,1,0,0,138,5,4.57,60,1896-12-01,5,2,2,2,0
1896,ANNUAL,78.9,59.4,69.62,98,,25,,20,91,0,0,6,39,0,1238,2920,56.84,,3.85,97,68,33,18,23

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1897,JAN,58.7,41.3,50.0,79,02,23,26,0,0,0,0,8,0,0,473,15,3.44,36,1897-01-31,7,6,3,1,1
1897,FEB,65.9,47.9,56.9,80,19,34,01,0,0,0,0,0,0,0,260,38,5.92,84,1897-02-04,8,8,5,1,0
1897,MAR,76.5,62.2,69.3,83,15,48,24,0,0,0,0,0,0,0,24,168,6.73,50,1897-03-31,9,7,4,2,0
1897,APR,75.9,59.2,67.6,83,27,49,09,0,0,0,0,0,0,0,35,119,5.89,54,1897-04-03,8,7,5,2,0
1897,MAY,83.2,62.8,73.0,88,31,51,01,0,0,0,0,0,0,0,2,259,1.11,76,1897-05-13,4,2,1,0,0
1897,JUN,91.5,72.6,82.0,98,22,64,05,0,21,0,0,0,12,0,0,517,8.01,56,1897-06-01,9,8,7,5,0
1897,JUL,91.9,74.7,83.3,96,01,66,13,0,28,0,0,0,19,0,0,574,3.03,72,1897-07-17,13,10,1,0,0
1897,AUG,89.5,73.9,81.7,99,03,70,30,0,15,0,0,0,10,0,0,527,3.56,65,1897-08-18,11,8,3,0,0
1897,SEP,86.6,69.5,78.0,94,03,55,22,1,5,0,0,0,10,0,0,386,3.56,49,1897-09-17,8,5,3,1,0
1897,OCT,80.7,61.0,70.8,88,06,52,24,0,0,0,0,0,0,0,1,188,3.93,81,1897-10-11,5,4,3,2,0
1897,NOV,70.9,51.6,61.3,80,26,42,18,0,0,0,0,0,0,0,140,36,3.37,75,1897-11-28,3,3,1,1,0
1897,DEC,63.8,45.5,54.5,78,03,33,28,0,0,0,1,0,0,0,314,8,M,M,M,M,M,M,M,25
1897,ANNUAL,78.0,60.3,69.11,99,,23,,1,69,0,1,8,51,0,1249,2835,53.09,,3.50,91,73,39,18,26

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1898,JAN,65.3,47.2,56.3,78,11,25,02,0,0,0,0,3,0,0,284,19,3.51,20,1898-01-13,9,7,3,1,0
1898,FEB,63.7,45.2,54.4,74,10,29,03,0,0,0,0,2,0,0,291,2,8.86,35,1898-02-17,7,7,6,2,0
1898,MAR,72.9,56.5,64.7,84,26,38,04,0,0,0,0,0,0,0,125,124,2.29,68,1898-03-29,6,4,3,0,0
1898,APR,73.7,53.4,63.6,82,30,40,07,0,0,0,0,0,0,0,89,53,3.45,15,1898-04-19,6,6,4,1,0
1898,MAY,85.9,64.6,75.3,93,31,50,06,0,9,0,0,0,0,0,5,334,T,T,1898-05-24,0,0,0,0,0
1898,JUN,90.6,72.3,81.4,93,30,69,08,0,26,0,0,0,2,0,0,499,4.47,42,1898-06-28,14,6,3,1,0
