Monthly Climate Data Summaries ( por - por )

Station:,SIOUX FALLS FOSS FIELD,State:,SD,ID:,14944
Latitude:,43.5778 degreeN,Longitude:,96.7539 degreeW,Elevation:,1428.0 feet
Station period of record:,maxt: 01/01/1893-10/23/2019; mint: 01/01/1893-10/23/2019; avgt: 01/01/1893-10/23/2019; hdd: 01/01/1893-10/23/2019; cdd: 01/01/1893-10/23/2019; pcpn: 01/01/1893-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1895,JAN,17.3,-2.4,7.5,39,18,-22,27,0,0,28,0,31,0,19,1779,0,0.50,15,1895-01-25,5,3,0,0,0
1895,FEB,24.8,1.2,13.0,63,27,-30,07,0,0,17,0,27,0,14,1450,0,0.22,20,1895-02-05,2,1,0,0,0
1895,MAR,42.8,14.9,28.9,76,29,-10,13,0,0,11,0,28,0,3,1112,0,1.23,84,1895-03-31,6,3,1,0,0
1895,APR,69.9,40.4,55.1,82,30,27,03,0,0,0,0,5,0,0,300,8,2.84,11,1895-04-28,6,5,2,1,0
1895,MAY,71.0,44.3,57.7,92,27,26,21,0,2,0,0,7,0,0,255,34,3.33,46,1895-05-03,6,5,2,1,0
1895,JUN,78.2,52.5,65.4,89,24,37,28,0,0,0,0,0,0,0,48,65,5.72,15,1895-06-03,11,9,6,2,0
1895,JUL,84.7,54.2,69.5,94,26,34,09,0,7,0,0,0,0,0,23,171,1.88,68,1895-07-28,4,3,2,0,0
1895,AUG,86.5,53.0,69.7,98,13,36,15,0,11,0,0,0,0,0,22,178,0.48,17,1895-08-27,5,3,0,0,0
1895,SEP,79.6,50.0,64.8,103,17,20,30,0,9,0,0,4,0,0,163,163,2.97,67,1895-09-22,6,5,2,1,0
1895,OCT,57.8,28.6,43.2,77,02,3,29,0,0,2,0,20,0,0,675,0,0.17,17,1895-10-10,1,1,0,0,0
1895,NOV,40.1,20.2,30.1,66,02,-6,26,0,0,10,0,24,0,2,1046,0,0.89,38,1895-11-13,7,3,0,0,0
1895,DEC,30.0,8.8,19.4,43,16,-11,02,0,0,18,0,30,0,6,1413,0,0.05,05,1895-12-03,1,0,0,0,0
1895,ANNUAL,57.0,30.6,43.83,103,,-30,,0,29,86,0,176,0,44,8286,619,20.28,,1.67,60,41,15,5,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1896,JAN,29.5,8.3,18.9,55,28,-18,04,0,0,18,0,31,0,9,1421,0,0.41,15,1896-01-14,5,2,0,0,0
1896,FEB,35.3,13.3,24.3,66,26,-10,20,0,0,15,0,28,0,4,1174,0,0.51,36,1896-02-29,2,2,0,0,0
1896,MAR,34.9,14.3,24.6,59,30,-11,13,0,0,15,0,28,0,5,1246,0,1.85,89,1896-03-28,6,6,1,0,0
1896,APR,60.1,36.3,48.2,83,25,14,03,0,0,0,0,9,0,0,496,2,5.96,73,1896-04-17,9,8,4,3,0
1896,MAY,74.8,48.3,61.5,88,08,37,15,0,0,0,0,0,0,0,155,54,2.59,60,1896-05-17,5,4,2,1,0
1896,JUN,80.9,52.6,66.7,94,18,40,02,0,3,0,0,0,0,0,56,117,5.92,13,1896-06-06,6,5,2,1,0
1896,JUL,85.9,57.1,71.5,102,14,44,07,0,10,0,0,0,0,0,12,220,1.67,58,1896-07-26,5,4,1,0,0
1896,AUG,85.5,56.8,71.1,100,07,35,27,0,10,0,0,0,0,0,25,221,1.17,61,1896-08-14,4,4,1,0,0
1896,SEP,70.6,44.4,57.5,87,08,28,27,0,0,0,0,3,0,0,244,28,4.63,08,1896-09-14,9,7,5,2,0
1896,OCT,58.7,30.3,44.5,78,02,18,24,0,0,0,0,18,0,0,627,0,3.39,69,1896-10-29,4,4,3,2,0
